"","caseid","V1","V2","V3","V4","V5","V6","V7"
"239","20160111151153","40","01","Full time","01","550","0","60"
"240","20160111151158","20","02","Part time","01","780","0","435"
"241","20160111151168","37","01","Full time","01","420","0","205"
"242","20160111151181","16","02","Part time","01","410","110","70"
"243","20160111151183","60","02","No answer","02","440","0","570"
"244","20160111151184","58","01","Full time","01","515","0","135"
"245","20160111151213","59","02","Full time","01","360","0","120"
"246","20160111151215","39","02","Full time","01","600","0","345"
"247","20160111151220","56","02","Full time","01","670","0","340"
"248","20160111151260","54","02","Full time","01","413","0","30"
"249","20160111151280","17","01","No answer","01","660","0","427"
"250","20160111151356","61","02","Full time","01","355","0","630"
"251","20160111151357","57","02","Full time","01","565","0","170"
"252","20160111151369","43","01","Full time","01","457","0","65"
"253","20160111151375","16","01","Part time","01","415","45","20"
"254","20160111151389","39","02","Full time","01","525","0","120"
"255","20160111151400","29","02","No answer","01","300","0","705"
"256","20160111151409","46","02","Part time","01","585","0","180"
"257","20160111151414","54","01","Full time","01","540","0","530"
"258","20160111151431","18","02","No answer","01","820","0","345"
"259","20160111151451","68","02","No answer","01","713","0","135"
"260","20160111151460","34","01","Full time","01","630","0","210"
"261","20160111151469","30","02","No answer","01","655","0","585"
"262","20160111151471","15","02","No answer","01","1010","0","120"
"263","20160111151488","59","01","Full time","01","570","0","368"
"264","20160111151490","33","01","Full time","01","510","0","360"
"265","20160111151495","53","01","Full time","01","750","0","655"
"266","20160111151515","45","01","Full time","01","480","0","270"
"267","20160111151520","25","02","Full time","01","420","0","155"
"268","20160111151558","32","01","Full time","01","360","60","420"
"269","20160111151560","56","02","No answer","01","660","0","705"
"270","20160111151567","17","01","No answer","01","720","60","137"
"271","20160111151576","66","02","No answer","01","660","0","388"
"272","20160111151580","23","02","Full time","01","810","0","283"
"273","20160111151601","61","01","No answer","02","420","0","495"
"274","20160111151608","15","02","No answer","01","375","355","45"
"275","20160111151623","37","01","Full time","01","660","0","490"
"276","20160111151632","29","02","Full time","01","525","0","220"
"277","20160111151638","64","02","No answer","01","495","0","45"
"278","20160111151674","32","02","Full time","01","685","0","60"
